question1,question2
What is the most important thing in one's life?,Which is the most important thing in life?
What's it like to be an expensive escort?,What's it like being a high end escort?
Why isn't Hillary Clinton in jail?,Why is Hillary Clinton not in jail?
Can we bring a dead animal back to life?,Will science ever make it possible to bring back the dead?
What are your favourite ballads?,What are some of your favorite ballads?
What's your review for the movie Ae Dil Hai Mushkil?,Should I watch Ae dil hai mushkil?
How do we know for sure that nothing is faster than light?,How do you prove that nothing can go faster than light?
What should be an ideal learning experience/education system for a child?,What is the ideal education system like for the post-industrial era?
Why is cricket not played at the Olympics?,Why cricket is not played in Olympics?
What is the meaning of my life?,What is the meaning and purpose to life?
What is the chance that Trump will become president?,What are the chances that Donald Trump will be the next US president?
Which are the most popular traditional dance forms in Chhattisgarh?,Which are the popular tribal dance forms of Chhattisgarh?
Is it right that males are more sexual than females?,Do men have more sex drive than women?
What are the best chess moves?,Which are the best chess moves?
Where can I get ketamine for depression?,Where can I get ketamine?
My questions haven't changed. Why are they now being marked as needing improvement?,Can people still see questions that are marked as needing improving?
What is the best book for beginners to learn java?,Which book is better for learning Core JAVA?
How can I get rid of the Ransom Virus ?,How do I get rid of ransomware virus?
Is it possible to create a new universe?,"Since Universe probably originated from nothing according to one theory, is it possible to create a new universe?"
"With the Bolt EV imminent, why has Cadillac not built nor announce they will build a car like the Model S?",Why doesn't Cadillac make a car like the Tesla Model S?
Why don't all the passengers jump out of plane if the plane is going to crash but flying stable enough?,During a plane crash why don't passengers just jump out of the plane?
How is apple cider vinegar used to treat thinning hair?,How do I use apple cider vinegar for hair loss?
What is difference between supercharging and turbocharging?,What is the difference between supercharging and turbocharging?
How good is Tejas LCA as per the Western world?,How good is LCA Tejas compared with other fighter jets in its category?
What is your review of Mohenjo Daro?,What's your review on Mohenjo-Daro?
What are the best career option for a Diploma holder in Electrical Engineering?,What are the career options available if I pursue M.Designing after a B.Tech in Electrical engineering?
Why India don't produce weapons rather than buying it from other countries?,Why can't India manufacture its own advanced weapons rather than importing?
Is an MS degree in the US worth all of the expense?,Is doing an MS in the US worth it?
Is there a way that I can control my dreams?,Can we control our dreams?
What are the unbiased views of Pakistan citizens in the light of Uri attack?,How are the responses by educated people of Pakistan on the Uri attack?
How does the Chinese Air Force stand vis a vis the Indian Air Force. Would PLA AF prefer  Ballistic missile against India ?,Can the Indian Air Force stand against the Chinese Air Force for even a week?
Why South Sudan has not signed the Non-Proliferation Treaty yet?,Why hasn't South Sudan signed the Non-Proliferation Treaty?
How do you make yourself pretty with makeup?,What are some tips for looking pretty with makeup?
How did the media become so biased?,Why is the media so biased?
What does API stand for?,What does API mean?
How can I increase the traffic to my website?,How can I Increase the traffic of my blog?
How should I celebrate New Year?,How can I celebrate New Year?
How do I find if a guy is interested in you?,How can you tell a if guy likes you?
How can I open my computer if I forget my password?,I forget my PC password what should I do to open it?
Why Arnab Goswami resign times now? And start entrepreneurs.?,Why did Arnab Goswami left ET now?
How do I talk to a girl I like?,How do you go up and talk to a girl you like?
What's your favorite movies and why?,What are some of your favorite movies?
Which is the best service LG TV service center in Hyderabad?,How can we find an LG TV service center in Hyderabad?
Why do my awesome questions never get more than 2 or 3 answers when some others get 50 or more?,Why do some questions get more answers here in Quora?
How can I get traffic in my website?,How do I get more traffic to my site?
How is Donald Trump winning?,How did Donald Trump got elected when there are so many people against him?
How will Donald Trump winning the election affect India?,What it means for India if Donald Trump win?
What is Binomial distribution?,What is the binomial distribution?
What is your best Hollywood movie and why?,What is your best hollywood movie?
How do I get started with deep learning?,What's the most effective way to get started with Deep Learning?
"What is your favorite book, why?",Which is your favorite book?
What ever happened to rock music?,What happened to rock music?
What are the disadvantages of the Make In India campaign?,What are the advantages and disadvantages of Make In India?
What are some mind blowing facts about currency around the world?,What are some amazing facts about world currencies?
What do you think about Donald trump?,What do you think about Donald Trump and his campaign?
"What are some good young hard rock artist similar to bands like Rage Against The Machine, Wakrat, Foo Fighters, Downset, ACDC and Xombie etc?","Are there YOUNG, EMERGING bands like Foo fighters, Wakrat and Rage Against the Machine?"
How do I lose weight faster?,How can you lose weight really quick?
What are dominant alleles?,What are dominant alleles? What are some examples?
What is homeostasis? What are some examples?,What are examples of homeostasis?
Do women care about the penis size of their partner?,Do women really care about the size of a man's penis?
Will Donald Trump start WW3/Nuclear war when he nukes ISIS?,Will Trump start nuclear WW3?
How are the video games made?,How are computer games developed?
Why is 2000 rupee note introduced and the 1000 rupee note is scraped? Why can't 1000 note also be changed to new ones like the 500?,Why is the Indian government introduced 2000 note instead of 1000 note?
Which country has never been ruled or occupied by another country?,Is there any country or nation in the present world which has never been occupied and ruled by another country or nation?
What is the weirdest dream you ever had?,What are some of the weirdest dreams you've ever had?
What are the differences between being moral and being ethical?,What is the difference between ethics and moral values?
How do I take apart a Fujifilm X10 digital camera?,How do I take apart my broken Fujifilm X10 digital camera?
When can women get pregnant in the menstrual cycle?,Is it possible to get pregnant before your regular period?
Do large tech companies acquire Startups for their patents?,Why do large companies acquire startups and just let them die? Is there value in acquisitions to eliminate competition?
"If Donald Trump wins, how would it affect India?",How will Donald trump's Victory would affect India's relationship with USA?
What is the best place to visit in summer?,What are the best places to visit this summer vacation?
Can you get high by eating a few of the little THC crystals from a weed nugget?,Can you get high from eating weed? Why or why not?
Could anyone suggest me some TV series like silicon Valley?,What are some tv shows like Silicon Valley?
How do I delete a Quora question?,How do I delete a question on Quora application?
How do I make a resume?,How do I build a strong resume?
Self-Improvement: How can I motivate myself to work hard?,How do I motivate myself for anything?
What is the cost of the fuel used to completely cremate a body?,What is the cost of the energy used to completely cremate a body?
Can we pursue biotechnology after B.tech in mechanical engineering?,What are the best option after completing my B.Tech in mechanical engineering?
"What lesson can you learn from the movie ""PK""?",What have you learnt from the movie PK?
How do I stop my Pomeranian/Shih Tzu mix from humping my furniture?,How do you stop your Boxer/Pitbull mix from humping your furniture?
"Trump wins the election. So, is he good for India?",How will Trump becoming President affect India?
Which books would you recommend that I read?,What books do you recommend reading?
What is American revolution?,What is the American Revolution?
Daniel Ek: When is Spotify coming to india?,When will Spotify launch it's services in INDIA?
Which is the best tv series out of 2016?,Which are the top five tv series of 2016?
How many people have ever lived?,How many people have there ever been?
"What do you think about Donald Trump's speech in Gettysburg, PA?",What do you think about this great Donald Trump indoor speech made 4 days ago (in which I consider being one of his best)?
How will black money and corruption be stopped by banning 500 and 1000 notes?,How would demonetizing 500 and 1000 rupee notes and introducing new 2000 rupee notes help curb black money and corruption?
What will be the last few things you would like to do if you knew these were the last 24 hours of the world?,What would one do in the last 24 hours of one's life?
Why do many Quora users ask questions they could look up online?,Why do folks ask questions on Quora that a Google search could answer faster and more accurately?
Which in ear earphone with mic are best with sound quality at high volume under INR 1000?,Which is the best in-ear headphone with mic in India under 1k?
What are the career objectives to put in a CV?,How do you write a career objective in a CV?
What are the best Star Trek episodes?,What were the best episodes of any Star Trek series?
How much money does an popular YouTubers get from YouTube?,How much money do you think popular YouTubers make?
Is it true that men are polygamous?,Are men innately polygamous?
What are the career options available for an electrical engineering graduate?,What are the good career option after b.tech in electrical engineering from an NIT?
What is the smartest snippet of code you have ever seen/written?,What is the smartest piece of code you have ever written/seen?
How do I legally rob a bank?,Are there legal ways to rob a bank?
How is the Catholic Bible different from the Protestant Bible?,Is protestant Bible the same as the Catholic Bible?
What is polity?,What is meant by the term Polity?
How can I forgive someone who betrayed me twice?,How do I forgive someone who betray me?
How can I lose weight quickly? Need serious help.,How can I lose weight quickly?
Who will win ipl 2016?,Which team win IPL 9?
How do I register for the USA green card lottery?,How do I apply for green card lottery?
Why do extroverts like small talk?,Do extroverts enjoy small talk?
How will I improve my spoken English?,How can I improve my speaking?
How do I stop my addiction to porn and masturbation?,How do I stop over masturbation?
What are some greatest operations by Ajit Doval?,What are some interesting facts about Ajit Doval?
Why does it take so much effort to lose weight?,Why is it so hard to lose weight?
What causes bleeding from nose and mouth?,What causes mouth and nose bleeding?
How do I make cake?,How does one make a cake?
What are your new year resolutions for 2017?,What is your new year resolution for 2017 or goal for 2017?
"What is the Sahara, and how do the average temperatures there compare to the ones in the Great Basin Desert?","What is the Sahara, and how do the average temperatures there compare to the ones in the Great Victoria Desert?"
Is is true or just a rumor that RBI Rs 2000 note will carry a GPS tacking device?,Is that true 2000 note has embeded with GPS chips?
How long does meth stay in your system if you snorted 3 little lines?,How long meth stay in system?
What are the biggest pain points and challenges for angel investors?,What are your top 3 challenges as an angel investor?
What is the best Used car for under $7000?,What's the best used car I can buy for max $7000?
How does YouTube decide which ads play before my video?,What determines which type of ad I see before a YouTube video?
How can I build a meditation habit?,How do you start a meditation habit?
"Website with 150,352 views but not a single sale made up-to today. Is it normal?","Website with 150,352 views but not a single sale made up-to today. Is that normal?"
Which promocodes are used to get cashbacks on freecharge?,By using promocodes only can a user get cashback on freecharge?
"What is a good summary for the poem ""Fire and Ice""?","What is the meaning of the poem ""Fire and Ice""?"
What is it like to fall in love?,What is its like to fall in love?
What is your New Year's resolution for 2017?,What are some meaningful new year resolutions for 2017?
What is it like to be in car crash?,What is it like to be in a car accident?
Is there a way to prevent hair Loss?,What is the best treatment for hair loss?
How does the ozone layer filter out the ultraviolet rays?,What is so special about ozone that it can filter out UV rays?
How can I improve my character and personality?,What should I do to develop my personality?
Does Bill Gates use Google or Bing?,Does Bill Gates use Google Search?
How did you meet your significant other?,How did you meet your boyfriend/girlfriend?
How do I join the Indian Army as a doctor after doing my MBBS?,"I am a medical student, aspiring to join the Indian army as a doctor after my MBBS. Who can I contact for advice and counselling regarding this matter?"
What are the most unhygienic stuffs in daily use?,"What are the most unhygienic stuffs, used daily?"
"What is the Sahara, and how do the average temperatures there compare to the ones in the Dasht-e Margo?","What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?"
What is newton’s 3rd law?,Newtons third law?
"What are some ""must-see"" YouTube videos?",What are some must-see youtube videos?
Can a non-US citizen start a business in the US?,How can a non-US citizen start a small business in US?
Can we time travel?,Time Travel Is It Possible?
Should the uniform civil code be implemented in our country?,Is India a secular country? If yes why isnt uniform civil code implemented?
What was the Agricultural Revolution and what were its effects?,What were the effects and consequences of the Agricultural Revolution?
Can I monetize on YouTube by uploading third party videos?,Can I monetize a video that is third party content?
"How do you say ""Do you have warm hands to help me relax?"" in simplified Chinese?","How do you say ""Do you have warm hands to help me relax? In simp Chinese?"
How can I tighten my body and get rid of tummy/belly fat?,How do I get rid of jelly belly?
How many Pakistanis can speak Punjabi?,How many Pakistanis can understand Punjabi?
"What are the unknown facts about Mr. Bean, the comedy character?",What are the unknown facts about Mr.Bean?
Is Pokémon GO available for Android in India from play store?,When Pokémon GO will be available for download in India on Android?
How can you convert an internal-combustion-powered car into an electric-powered car?,How do I convert an existing gas powered car to totally electric?
Is EOS a good lip balm?,Is Eos lip balm good?
What is the truth behind the Bermuda Triangle?,What is in the Bermuda triangle?
What should I do to improve my English ?,How can I continue to improve my English?
How can I disable comments on photos posted to Facebook?,Facebook: Can I disable like and comment options on Facebook?
How does a selfie stick works with an Android phone?,What is a selfie stick and how does it work?
How can I retrieve my Google account?,What are my options for recovering my Google account?
Can long distance relationships work out?,How does long distance relationship work?
How do I know who my spouse is texting?,How do I spy on my spouse text?
What are the safety precautions on handling shotguns proposed by the NRA in Illinois?,What are the safety precautions on handling shotguns proposed by the NRA in Michigan?
How do I buy stocks?,How to buy stocks?
Should I swap my iPhone 6s for a Samsung Galaxy s7?,Should I buy iPhone 6s or Samsung Galaxy edge 7?
Is the indian judiciary unbiased?,How unbiased is Indian judiciary?
How can I get rid of discoloration and scars from acne?,How do I get rid of discoloration from acne?
What do pakistanis think about south indians?,What Pakistani people think about south Indian states?
What exactly is the tension between Russia & US because of Russian involvement in Syria? Will there be a proxy war in future?,Are the US and Russia fighting a proxy war in Syria? (please see details)
What are the safety precautions on handling shotguns proposed by the NRA in Minnesota?,What are the safety precautions on handling shotguns proposed by the NRA in the entire U.S. including it’s territories and possessions? 3
What are some ways to get many views on YouTube?,How do I get more views in YouTube?
Why's playing snooker by myself (with other people playing) on other tables different to playing on a table with just myself?,Why's playing snooker by myself (with other people playing) on other tables different to playing on a table with just myself? Hm
I always feel sleepy and lost in my own world.What should I do to avoid this and concentrate during my lectures?,How should I avoid sleeping during lectures?
How do I ask a girl out for a date?,How should I ask this girl out?
How do I start preparation for cracking the IAS exam? What are some good books and ideas as I am from a middle class family?,How should I start preparing for the IAS exam? I am currently studying engineering first year. What are the various books or materials I need to use?
What should I do with this girl that I liked?,What should I do about a girl I like?
Which animal has the longest lifespan?,Which animal lives the longest?
Share your review about Kabali movie?,What is your review of kabali movie and tell interesting scene?
Difference between functionality of  Border Security Force and Indian army?,Which organisation is more active on Borders? The Border Security Force (BSF) or the Indian Army?
Recover my photos from app lock?,Recover photos from app lock?
How can I learn Graphic designing?,How can I learn graphic design?
How were bats classified as mammals?,Why are bats classified as mammals?
If dark matter strongly interacts with matter then is it what waves in a double slit experiment?,Is it the dark matter that waves in a double slit experiment?
Why is watching and doing something always different?,Why's doing something and watching always different?
What is the best method for clearing IELTS?,What is the best method to pass IELTS?
Can time travel exist somewhere in our universe already?,Will time travel ever become possable?
How does apple cider vinegar affect weight loss?,Does apple cider vinegar mixed with water help lose weight?
"During viva voce & interviews, when a teacher tells that we know nothing, it decreases our confidence levels. How do we overcome this fear?","In viva voce & interviews, when a teacher tells that we know nothing, it decreases our confidence levels. How do we overcome this fear?"
How do I train myself to build mental visualisation skills like Nikola Tesla?,How do I train my visualisation ability to be as good as Nikola Tesla?
What is the hardest job you ever think?,What was the hardest job you have done?
How can I fetch more number of answers for my questions on Quora?,How come my questions always get ignored on Quora?
In what ways can I grow taller?,How can I grow taller at 18?
Which is the best book for physical chemistry for the JEE?,Which is the best book for problem solving for physical chemistry for the JEE?
Which are the best ways to lose weight?,How do I reduce my weight?
How can I log in Facebook without password?,How can I deactivate a Facebook account if I forgot the email address and the password?
Who will win war between Russia and US?,Is it possible to win a nuclear war between the US and Russia?
Could the universe be inside a black hole?,What would be the implications if our universe existed within a black hole?
What are the best motivational books for joining the Indian Army?,Which are the best books to read about the Indian army or the Indian defence forces?
How do I earn more coins in 8 ball pool?,How do I get more coins in 8 ball pool miniclip?
"What are the various ways, in which one can help orphans?",What are some ways to help the orphans?
Can I make money online?,Can I earn money online?
Has an answer on Quora changed your life?,Which answer on Quora changed the way you think and changed your life?
What is best online resource to learn data structures and algorithms?,Which is the best website for learning data structures or algorithm?
What is the best food to eat when you are down with fever?,What are the best foods to eat when you have fever?
What are some mind-blowing tech tools that most people don't know about?,What are some mind blowing technology gadgets that most people don't know?
Why do people often ask questions in Quora while they can Google it themselves?,"Why does people here in Quora still ask some questions that has been already answered somewhere else, and can be found easily using Google search?"
What's your favorite animal in the animal kingdom? Why?,What is your favorite animal and why?
How does a physiotherapist become a surgeon?,Can a physiotherapist become a surgeon?
Is time travel possible through cosmic strings?,Do you think time travel is possible?
How do you see all previous deleted posts on Instagram?,Is there a way to see a history of deleted photos on instagram?
Why is cricket being given so much importance in India?,Why cricket is so important in india?
How do I write a comedy script?,How can we write comedy script?
What are some tips for becoming successful?,How can I become very successful?
What is the best way to kill or remove house flies?,What is the best way to kill house flies?
What products should I use to get rid of acne quickly?,What are the best ways to get rid of acne?
Who is the best band ever?,Who is the greatest band of all time?
How do know when you're in love?,How do know that you are in love?
How do you earn money on Quora?,Can I earn money on Quora?
What was the weirdest date you ever experienced?,What is the weirdest date you've ever been on?
What are the best episodes of Friends?,What was the best episode of Friends?
How do I improve my English with creative writing skills?,What is the best way to inprove my English writing ability?
Does light have mass?,Does light have any mass?
Did Donald Trump inherit a lot of money and then increase his net worth at an unremarkable rate?,Is it true that Donald Trump increased the money inherited?
What are the best photos taken from a phone?,What are some of the best pictures taken with a phone camera?
How can a current pass through a cell?,How does current pass through a cell?
My girlfriend is trying to break up with me because her parents don't accept me. What should I do?,"My girlfriend told me that if her parents don't accept our relationship, she will only marry the person they choose for her. What should I do? Should I continue this relationship? Or do something?"
What are some of the best non fiction books to read that can change one's perspective of life?,What are the books that change your life?
How can I make my site an SEO friendly?,How do I make a website SEO friendly?
How do we get racist people to stop being racist?,"Is it possible for me, a racist person to stop being racist?"
How do I increase traffic on my site?,How to increase my website Traffic?
What are some reasons to join Quora?,What made you to join Quora?
What are the good career option after b.tech in electrical engineering from an NIT?,What are the career option after graduation in electrical engineer?
How can I potty train a Pug puppy?,How do I potty train a puppy?
Scope in digital marketing?,What do you think the scope of digital marketing is?
